"","GPU","Score","G2DScore","G3DScore","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Quantile"
"71","Radeon R9 290X / 390X",3300,699,8389,2014-01-04,619.99,2021-05-13,579,"Third Quantile"
"72","Radeon R9 290 / 390",3137,695,8150,2014-01-02,499.99,2021-05-14,459,"Second Quantile"
"73","GeForce GTX 1650",3086,575,7880,2019-04-28,149.99,2023-08-20,137.76,"First Quantile"
"74","T1000",3037,870,7679,2021-08-28,396.99,2023-12-02,399.99,"Second Quantile"
"75","Radeon RX 6400",2971,697,7551,2022-05-03,159.99,2024-02-10,168.41,"First Quantile"
"76","GeForce GTX 970M",2827,391,5739,2016-04-25,1999.99,2020-03-10,209.99,"Third Quantile"
"77","GeForce GTX 960",2809,674,6071,2015-03-26,194.99,2021-11-20,172,"Second Quantile"
"78","GeForce GTX 770",2768,562,5925,2013-06-02,399.99,2022-03-30,249,"Second Quantile"
"79","GeForce GTX 1050 Ti",2644,649,6316,2016-12-21,137.99,2024-03-03,278.56,"First Quantile"
"80","GeForce GTX 680",2626,532,5553,2012-03-30,499.99,2021-05-16,159.99,"Third Quantile"
"81","Radeon R9 270X",2593,612,4890,2013-12-28,199.99,2021-05-13,199,"First Quantile"
"82","GeForce GTX 690",2524,463,5562,2012-07-15,1199.99,2021-05-13,649,"Third Quantile"
"83","T600",2472,740,6463,2021-08-28,297,2023-03-09,239.99,"First Quantile"
"84","GeForce GTX 760",2431,527,4794,2013-08-15,316.99,2021-05-13,209.99,"Second Quantile"
"85","Radeon R9 380X",2425,665,6194,2016-03-10,249.99,2021-05-13,823.24,"Second Quantile"
"86","GRID K2",2400,319,2737,2013-11-04,4900,2022-11-13,4449.99,"Third Quantile"
"87","GeForce GTX 670",2393,530,5332,2012-05-19,399.99,2021-06-10,99,"Third Quantile"
"88","Radeon R9 380",2293,656,6148,2016-05-26,264.99,2020-03-14,399,"Second Quantile"
