"Name","Score","Link","G2DScore","G3DScore"
"Radeon RX 6600","6,947","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6600&id=4465","873","15133"
"Radeon Pro W5700","6,932","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+W5700&id=4182","918","15190"
"GeForce RTX 2060 12GB","6,914","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+12GB&id=4602","839","15900"
"GeForce RTX 2060 SUPER","6,875","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+SUPER&id=4117","858","16561"
"GeForce RTX 4060 Laptop GPU","6,768","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4060+Laptop+GPU&id=4752","735","17700"
"Radeon RX 5700","6,754","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5700&id=4107","887","14483"
"RTX A4000 Laptop GPU","6,736","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A4000+Laptop+GPU&id=4421","567","15416"
"GeForce RTX 3050 8GB","6,681","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3050+8GB&id=4495","942","12874"
"RTX A2000 12GB","6,664","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A2000+12GB&id=4533","1122","13723"
"Radeon RX 6850M XT","6,602","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6850M+XT&id=4574","604","17192"
"Radeon RX 7700S","6,585","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7700S&id=4887","744","15660"
"Radeon RX 5600 XT","6,577","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5600+XT&id=4186","878","13670"
"RTX A2000","6,572","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A2000&id=4477","989","13772"
"GeForce RTX 2070","6,529","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070&id=4001","824","16174"
"GeForce RTX 2080 (Mobile)","6,528","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+%28Mobile%29&id=4084","812","15107"
"Quadro P5000","6,519","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P5000&id=3607","668","12440"
"Radeon RX Vega 64","6,469","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+Vega+64&id=3808","799","14366"
"Quadro RTX 4000","6,342","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+4000&id=4053","881","15392"
"RTX 3000 Ada Generation Laptop GPU","6,264","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+3000+Ada+Generation+Laptop+GPU&id=4930","602","15860"
"Radeon RX 6800S","6,242","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800S&id=4542","701","15460"
"Intel Arc A770","6,240","https://www.videocardbenchmark.net/gpu.php?gpu=Intel+Arc+A770&id=4605","762","13147"
"GeForce GTX 980 Ti","6,171","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+980+Ti&id=3218","853","13812"
"GeForce GTX 1070","6,108","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1070&id=3521","850","13513"
"Quadro RTX 5000 (Mobile)","6,068","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+5000+%28Mobile%29&id=4147","705","14832"
"Radeon RX 6700S","6,057","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6700S&id=4510","732","14923"
"Radeon RX 7600S","5,970","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7600S&id=4835","756","14178"
"Radeon RX Vega 56","5,969","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+Vega+56&id=3821","772","13268"
"Radeon RX 6650M","5,926","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6650M&id=4557","756","14930"
"GeForce RTX 2070 (Mobile)","5,909","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+%28Mobile%29&id=4083","601","12354"
"GeForce GTX 1070 (Mobile)","5,894","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1070+%28Mobile%29&id=4087","603","10465"
"Radeon Pro WX 8200","5,890","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+8200&id=3976","815","13932"
"Radeon Pro 5700 XT","5,889","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+5700+XT&id=4250","816","12613"
"GeForce RTX 4050 Laptop GPU","5,876","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4050+Laptop+GPU&id=4763","628","14482"
"GeForce GTX 1080 with Max-Q Design","5,822","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1080+with+Max-Q+Design&id=3784","737","11584"
"GeForce RTX 3050 OEM","5,811","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3050+OEM&id=4569","954","12026"
"GeForce RTX 3060 Laptop GPU","5,804","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3060+Laptop+GPU&id=4342","589","13371"
"Radeon Vega Frontier Edition","5,794","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Vega+Frontier+Edition&id=3775","750","13327"
"Radeon RX 6600M","5,785","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6600M&id=4449","704","13657"
"GeForce GTX TITAN X","5,782","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+TITAN+X&id=3162","842","13044"
"RTX A3000 12GB Laptop GPU","5,744","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A3000+12GB+Laptop+GPU&id=4503","612","14600"
"Radeon Pro Vega 64","5,653","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+Vega+64&id=3879","805","12984"
"RTX 2000 Ada Generation Laptop GPU","5,607","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+2000+Ada+Generation+Laptop+GPU&id=4785","617","15397"
"Radeon RX 7600M XT","5,599","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7600M+XT&id=4844","667","11544"
"GeForce RTX 2060","5,586","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060&id=4037","749","14150"
"RTX A3000 Laptop GPU","5,571","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A3000+Laptop+GPU&id=4414","503","12554"
"Radeon Pro V520 MxGPU","5,567","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+V520+MxGPU&id=4328","525","12258"
"Quadro M6000","5,562","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M6000&id=3106","736","11797"
"Intel Arc A750","5,503","https://www.videocardbenchmark.net/gpu.php?gpu=Intel+Arc+A750&id=4612","673","11946"
"Radeon RX 6700M","5,388","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6700M&id=4458","578","13453"
"Quadro M6000","5,387","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M6000&id=3106","736","11797"
"Radeon Pro VII","5,384","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+VII&id=4306","576","12728"
"Radeon RX 5600","5,363","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5600&id=4205","891","11587"
"Radeon Pro WX 9100","5,362","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+9100&id=3833","745","12529"
"Quadro P4200","5,333","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P4200&id=3959","511","10685"
"GeForce GTX 1660 Ti","5,318","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+Ti&id=4045","812","12929"
"GeForce RTX 2060 (Mobile)","5,310","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+%28Mobile%29&id=4085","540","11355"
"Quadro M6000 24GB","5,301","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+M6000+24GB&id=3544","701","11890"
"RadeonT RX 6850M XT","5,290","https://www.videocardbenchmark.net/gpu.php?gpu=RadeonT+RX+6850M+XT&id=4849","702","13848"
"Quadro P5200","5,275","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P5200&id=3888","556","12304"
"Quadro P3200 with Max-Q Design","5,266","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P3200+with+Max-Q+Design&id=3963","527","9242"
"RTX 1000 Ada Generation Laptop GPU","5,261","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+1000+Ada+Generation+Laptop+GPU&id=5011","634","13384"
"Quadro RTX 5000 (Mobile)","5,242","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+5000+%28Mobile%29&id=4147","705","14832"
"GeForce RTX 2070 with Max-Q Design","5,237","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+with+Max-Q+Design&id=4048","483","11738"
"Radeon Pro Duo","5,222","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+Duo&id=3575","765","8164"
"GeForce RTX 3050 6GB","5,207","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3050+6GB&id=5069","831","10823"
"Radeon Pro W5500","5,199","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+W5500&id=4192","832","9120"
"GeForce GTX 1660 Ti (Mobile)","5,196","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+Ti+%28Mobile%29&id=4091","486","10198"
"Intel Arc A770M","5,181","https://www.videocardbenchmark.net/gpu.php?gpu=Intel+Arc+A770M&id=4620","716","11753"
"Tesla P100-PCIE-16GB","5,171","https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+P100-PCIE-16GB&id=4039","572","7225"
"GeForce GTX 1660 SUPER","5,169","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+SUPER&id=4159","809","12773"
"Intel Arc A580","5,143","https://www.videocardbenchmark.net/gpu.php?gpu=Intel+Arc+A580&id=4940","719","11559"
"Radeon Pro Vega 56","5,134","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+Vega+56&id=3912","828","12354"
"GeForce RTX 2070 Super with Max-Q Design","5,097","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+Super+with+Max-Q+Design&id=4204","624","13776"
"Quadro P4200 with Max-Q Design","5,083","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P4200+with+Max-Q+Design&id=3999","606","11447"
"Radeon RX 6800M","5,064","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800M&id=4415","548","13291"
"Tesla V100-PCIE-16GB","5,064","https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+V100-PCIE-16GB&id=4226","515","12633"
"GeForce GTX 1660","5,046","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660&id=4062","782","11690"
"Quadro P4000","5,002","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P4000&id=3719","824","11655"
"GeForce RTX 2080 Super with Max-Q Design","4,916","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+Super+with+Max-Q+Design&id=4202","581","13802"
"Quadro RTX 5000 with Max-Q Design","4,806","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+5000+with+Max-Q+Design&id=4144","580","13642"
"GeForce GTX 980","4,800","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+980&id=2953","798","11126"
"Tesla T4","4,771","https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+T4&id=4211","590","10833"
"GeForce RTX 2080 with Max-Q Design","4,758","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+with+Max-Q+Design&id=4041","537","13171"
"Radeon RX 6500 XT","4,721","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6500+XT&id=4488","816","9528"
"Quadro P5200 with Max-Q Design","4,709","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P5200+with+Max-Q+Design&id=3996","480","12355"
"GeForce RTX 3050 6GB Laptop GPU","4,681","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3050+6GB+Laptop+GPU&id=4782","612","10458"
"Tesla P40","4,674","https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+P40&id=4548","434","12499"
"Radeon RX 5500 XT","4,653","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5500+XT&id=4174","782","9158"
"Quadro RTX 4000 (Mobile)","4,614","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+4000+%28Mobile%29&id=4148","552","12586"
"GeForce GTX 1070 (Mobile)","4,587","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1070+%28Mobile%29&id=4087","603","10465"
"RTX A2000 8GB Laptop GPU","4,586","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A2000+8GB+Laptop+GPU&id=4553","542","10940"
"RTX A1000 6GB Laptop GPU","4,582","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A1000+6GB+Laptop+GPU&id=4804","561","10157"
"Radeon RX 5600 OEM","4,580","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5600+OEM&id=4640","696","12005"
"Quadro RTX 4000 with Max-Q Design","4,541","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+RTX+4000+with+Max-Q+Design&id=4161","562","12628"
"GeForce GTX 1650 SUPER","4,517","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1650+SUPER&id=4167","752","10153"
"GeForce RTX 2070 (Mobile)","4,495","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+%28Mobile%29&id=4083","601","12354"
"Quadro P2200","4,476","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P2200&id=4133","915","9330"
"RTX A2000 Laptop GPU","4,468","https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A2000+Laptop+GPU&id=4438","477","9961"
"Radeon Pro SSG","4,404","https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+SSG&id=3985","588","10972"
"Quadro P5200 with Max-Q Design","4,378","https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P5200+with+Max-Q+Design&id=3996","480","12355"
"GeForce GTX 1060 (Mobile)","4,369","https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1060+%28Mobile%29&id=4086","444","8161"
