"","GPU","Score","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice"
"321","Radeon R5 235","176","2014-03-31","60.13","2014-03-31","60.13"
"322","GeForce GT 705","175","2014-09-30","296.76","2014-09-30","296.76"
"323","GeForce GT 610","175","2012-09-30","139.99","2012-09-30","139.99"
"324","NVS 310","147","2012-12-31","62.06","2012-12-31","62.06"
"325","Radeon HD 6470M","145","2012-09-30","569.99","2012-09-30","569.99"
"326","Radeon HD 7450","145","2012-03-31","49.99","2012-03-31","49.99"
"327","GeForce 510","136","2011-12-31","69.99","2011-12-31","69.99"
"328","Radeon HD 6450","130","2011-12-31","89","2011-12-31","89"
"329","Radeon HD 6380G","91","2012-06-30","399.99","2012-06-30","399.99"
"330","Radeon HD 6320","88","2011-12-31","554.99","2011-12-31","554.99"
"331","Radeon HD 8350","84","2013-12-31","99.81","2013-12-31","99.81"
"332","RADEON HD 6350","79","2011-06-30","59","2011-06-30","59"
"333","Quadro FX 580","66","2009-06-30","130","2009-06-30","130"
"334","FirePro 2460","59","2012-09-30","83.99","2012-09-30","83.99"
"335","GeForce 8400 GS","58","2012-09-30","85.97","2012-09-30","85.97"
"336","GeForce 9500 GT","52","2009-06-30","85.99","2009-06-30","85.99"
"337","Radeon HD 5450","46","2012-09-30","94.96","2012-09-30","94.96"
"338","FirePro 2270","42","2012-09-30","134","2012-09-30","134"
"339","Quadro FX 570","42","2009-06-30","115","2009-06-30","115"
"340","Radeon R5 220","41","2015-03-31","85.26","2015-03-31","85.26"
"341","GeForce GT 220","35","2011-04-26","49.99","2020-03-14","39.99"
"342","GeForce 8600 GT","33","2020-03-13","189","2022-03-30","119.99"
